Block,Price Oracle 0,Price Oracle 1,Price Scale 0,Price Scale 1,Fee,VP,A,Gamma,Fee_Gamma,D,lp_price,xcp_profit,xcp_profit_a
8635439,42685119822405654750643,2296225630662322448002,42686644490496221648251,2296363557194674731495,49454362,1003968883727066063,2031336,49775712060635,7200000000000,1362614668897777747676803,1388714744704185206845,1007818536186436905,1007818534202513382
8635966,42684961084671747491385,2296211261997042799767,42686644490496221648251,2296363557194674731495,49454362,1003968883727066063,2023807,49930816112593,7200000000000,1362614668897777747676803,1388714744704185206845,1007818536186436905,1007818534202513382
8636493,42683990897030112511219,2296123302739862292120,42685394470708588164992,2296250469387513060071,48432776,1003968892813807969,2016278,50085920164551,7200000000000,1362583332024505087081590,1388684723869870668230,1007818563927958422,1007818560189229788
8637020,42680166866518392211913,2295728310537362733935,42684012507952605423831,2296122368239445512958,109209391,1003978595564525018,2008750,50241024216510,7200000000000,1362556456842334488864158,1388641814403166403946,1007828359114647608,1007818560189229788
8637547,42673985862287943755546,2295086281761943188894,42684012507952605423831,2296122368239445512958,109209391,1003978595564525018,2001221,50396128268468,7200000000000,1362556456842334488864158,1388641814403166403946,1007828359114647608,1007818560189229788
8638074,42668122628528863464457,2294479615465233894081,42676415860179767294498,2295337274739139073929,107428060,1003975711854904999,1993692,50551232320426,7200000000000,1362325425226515453314260,1388340082773605178512,1007823531375191054,1007823520395318106
8638601,42666358095159854673627,2294297121719324121871,42674696352902426327699,2295159446803337880262,107031071,1003975594295950646,1986164,50706336372384,7200000000000,1362271786811254894588617,1388152899258828554889,1007823532775792794,1007823520395318106
8639128,42666027533474214073992,2294262935823118008624,42674696352902426327699,2295159446803337880262,107031071,1003975594295950646,1978635,50861440424342,7200000000000,1362271786811254894588617,1388152899258828554889,1007823532775792794,1007823520395318106
8639655,42659939856473920637582,2293632281624048283925,42666028958961640042359,2294262807189174020005,104788119,1003975161164287094,1971107,51016544476301,7200000000000,1362007350056519490365927,1387967840827748487041,1007823652453091050,1007823586945415757
8640182,42658146536722761009473,2293446548711554294590,42666028958961640042359,2294262807189174020005,104788119,1003975161164287094,1963578,51171648528259,7200000000000,1362007350056519490365927,1387967840827748487041,1007823652453091050,1007823586945415757
